timestamp_s,id,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,xE_m,yE_m,zE_m,rollE_deg,pitchE_deg,yawE_deg
1761141736.552128,0,0.031278,-0.012342,1.150014,4.005,-0.542,-87.217,0.031278,-0.012342,1.150014,4.005,-0.542,-87.217
1761141736.620629,0,0.031282,-0.012332,1.149984,4.044,-0.549,-87.196,0.031282,-0.012332,1.149984,4.044,-0.549,-87.196
1761141736.696235,0,0.031285,-0.012331,1.150071,4.024,-0.599,-87.202,0.031285,-0.012331,1.150071,4.024,-0.599,-87.202
1761141736.769328,0,0.031324,-0.012333,1.150038,4.047,-0.674,-87.209,0.031324,-0.012333,1.150038,4.047,-0.674,-87.209
1761141736.837524,0,0.031339,-0.012317,1.150327,3.934,-0.615,-87.193,0.031339,-0.012317,1.150327,3.934,-0.615,-87.193
1761141736.896379,0,0.031368,-0.012288,1.150274,4.067,-0.410,-87.185,0.031368,-0.012288,1.150274,4.067,-0.410,-87.185
1761141736.963954,0,0.031394,-0.012316,1.150249,4.020,-0.672,-87.206,0.031394,-0.012316,1.150249,4.020,-0.672,-87.206
1761141737.049974,0,0.031394,-0.012308,1.150203,4.115,-0.617,-87.202,0.031394,-0.012308,1.150203,4.115,-0.617,-87.202
1761141737.130721,0,0.031422,-0.012301,1.150220,4.050,-0.589,-87.191,0.031422,-0.012301,1.150220,4.050,-0.589,-87.191
1761141737.212442,0,0.031412,-0.012302,1.150321,4.001,-0.604,-87.193,0.031412,-0.012302,1.150321,4.001,-0.604,-87.193
1761141737.283500,0,0.031417,-0.012291,1.150345,4.039,-0.577,-87.195,0.031417,-0.012291,1.150345,4.039,-0.577,-87.195
1761141737.366069,0,0.031445,-0.012284,1.150314,4.138,-0.579,-87.196,0.031445,-0.012284,1.150314,4.138,-0.579,-87.196
1761141737.444150,0,0.031432,-0.012292,1.150418,4.026,-0.590,-87.188,0.031432,-0.012292,1.150418,4.026,-0.590,-87.188
1761141737.515974,0,0.031455,-0.012297,1.149509,4.060,-0.895,-87.202,0.031455,-0.012297,1.149509,4.060,-0.895,-87.202
1761141737.593235,0,0.031529,-0.012266,1.153847,4.204,-0.248,-87.186,0.031529,-0.012266,1.153847,4.204,-0.248,-87.186
1761141737.662840,0,0.031528,-0.012242,1.145586,3.976,-0.990,-87.202,0.031528,-0.012242,1.145586,3.976,-0.990,-87.202
1761141737.733616,0,0.031494,-0.012279,1.149465,4.165,-0.228,-87.176,0.031494,-0.012279,1.149465,4.165,-0.228,-87.176
1761141737.803070,0,0.031513,-0.012264,1.153037,4.231,-0.367,-87.189,0.031513,-0.012264,1.153037,4.231,-0.367,-87.189
1761141737.876790,0,0.031505,-0.012320,1.152762,4.270,-0.670,-87.204,0.031505,-0.012320,1.152762,4.270,-0.670,-87.204
1761141737.941343,0,0.031490,-0.012271,1.152881,4.201,-0.386,-87.188,0.031490,-0.012271,1.152881,4.201,-0.386,-87.188
1761141738.010972,0,0.031507,-0.012269,1.152552,4.378,-0.405,-87.185,0.031507,-0.012269,1.152552,4.378,-0.405,-87.185
1761141738.085068,0,0.031509,-0.012299,1.152721,4.261,-0.456,-87.189,0.031509,-0.012299,1.152721,4.261,-0.456,-87.189
1761141738.154255,0,0.031522,-0.012281,1.152668,4.324,-0.349,-87.179,0.031522,-0.012281,1.152668,4.324,-0.349,-87.179
1761141738.219293,0,0.031542,-0.012281,1.152343,4.452,-0.438,-87.188,0.031542,-0.012281,1.152343,4.452,-0.438,-87.188
1761141738.286147,0,0.031546,-0.012297,1.152420,4.326,-0.496,-87.195,0.031546,-0.012297,1.152420,4.326,-0.496,-87.195
1761141738.356297,0,0.031552,-0.012271,1.152458,4.322,-0.406,-87.179,0.031552,-0.012271,1.152458,4.322,-0.406,-87.179
1761141738.431894,0,0.031537,-0.012296,1.152274,4.364,-0.543,-87.186,0.031537,-0.012296,1.152274,4.364,-0.543,-87.186
1761141738.499454,0,0.031555,-0.012294,1.152255,4.418,-0.484,-87.195,0.031555,-0.012294,1.152255,4.418,-0.484,-87.195
1761141738.569237,0,0.031545,-0.012298,1.152336,4.374,-0.506,-87.183,0.031545,-0.012298,1.152336,4.374,-0.506,-87.183
1761141738.638852,0,0.031577,-0.012285,1.152271,4.458,-0.491,-87.188,0.031577,-0.012285,1.152271,4.458,-0.491,-87.188
1761141738.710278,0,0.031582,-0.012277,1.152398,4.409,-0.425,-87.181,0.031582,-0.012277,1.152398,4.409,-0.425,-87.181
1761141738.778965,0,0.031560,-0.012260,1.152447,4.285,-0.385,-87.178,0.031560,-0.012260,1.152447,4.285,-0.385,-87.178
1761141738.855187,0,0.031588,-0.012286,1.152335,4.380,-0.581,-87.198,0.031588,-0.012286,1.152335,4.380,-0.581,-87.198
1761141738.928587,0,0.031615,-0.012265,1.152537,4.449,-0.435,-87.187,0.031615,-0.012265,1.152537,4.449,-0.435,-87.187
1761141739.000208,0,0.031573,-0.012218,1.152618,4.380,-0.413,-87.173,0.031573,-0.012218,1.152618,4.380,-0.413,-87.173
1761141739.076350,0,0.031604,-0.012244,1.152647,4.349,-0.573,-87.194,0.031604,-0.012244,1.152647,4.349,-0.573,-87.194
1761141739.141903,0,0.031633,-0.012219,1.152730,4.387,-0.455,-87.183,0.031633,-0.012219,1.152730,4.387,-0.455,-87.183
1761141739.212862,0,0.031618,-0.012215,1.152907,4.242,-0.429,-87.184,0.031618,-0.012215,1.152907,4.242,-0.429,-87.184
1761141739.279851,0,0.031688,-0.012212,1.152509,4.397,-0.527,-87.191,0.031688,-0.012212,1.152509,4.397,-0.527,-87.191
1761141739.346615,0,0.031629,-0.012202,1.153049,4.393,-0.447,-87.187,0.031629,-0.012202,1.153049,4.393,-0.447,-87.187
1761141739.418718,0,0.031658,-0.012220,1.148542,4.344,-0.411,-87.173,0.031658,-0.012220,1.148542,4.344,-0.411,-87.173
