0.00, 255
2.95, 255
10.34, 255
21.42, 255
33.97, 255
48.37, 255
63.14, 255
79.02, 255
94.89, 255
111.51, 255
127.75, 255
145.11, 255
161.35, 255
179.08, 255
195.69, 255
213.05, 255
230.77, 255
247.38, 255
265.11, 255
281.72, 255
299.45, 255
316.06, 255
333.78, 255
350.77, 255
368.49, 255
385.11, 255
402.83, 255
419.45, 255
437.17, 255
454.15, 255
471.88, 255
489.23, 255
506.22, 255
523.94, 255
540.55, 255
558.28, 255
575.26, 255
592.98, 255
609.60, 255
627.32, 255
644.31, 255
661.66, 255
678.65, 255
696.37, 255
713.35, 255
730.71, 255
747.69, 255
765.42, 255
783.14, 255
799.75, 255
817.48, 255
834.46, 255
852.18, 255
868.80, 255
886.52, 255
903.51, 255
921.23, 255
937.85, 255
955.57, 255
972.55, 255
989.91, 255
1006.89, 255
1024.62, 255
1042.34, 255
1058.95, 255
1076.68, 255
1093.66, 255
1111.38, 255
1128.00, 255
1145.72, 255
1162.71, 255
1180.43, 255
1197.05, 255
1214.77, 255
1231.75, 255
1249.48, 255
1266.09, 255
1283.82, 255
1300.43, 255
1318.52, 255
1335.88, 255
1352.86, 255
1370.58, 255
1387.20, 255
1404.92, 255
1421.91, 255
1439.63, 255
1456.25, 255
1473.97, 255
1490.95, 255
1508.68, 255
1525.29, 255
1543.02, 255
1559.63, 255
1577.72, 255
1595.08, 255
1612.06, 255
1629.78, 255
1646.40, 255
1664.12, 255
1681.11, 255
1698.83, 255
1715.45, 255
1733.17, 255
1750.15, 255
1767.88, 255
1784.49, 255
1802.22, 255
1818.83, 255
1836.55, 255
1853.54, 255
1871.26, 255
1888.98, 255
1905.60, 255
1923.32, 255
1940.31, 255
1958.03, 255
1974.65, 255
1992.37, 255
2009.35, 255
2026.71, 255
2043.69, 255
2061.42, 255
2078.03, 255
2095.75, 255
2112.74, 255
2130.46, 255
2148.18, 255
2164.80, 255
2182.52, 255
2199.51, 255
2217.23, 255
2233.85, 255
2251.57, 255
2268.55, 255
2286.28, 255
2302.89, 255
2320.62, 255
2337.23, 255
2355.32, 255
2371.94, 255
2389.66, 255
2406.65, 255
2424.00, 255
2442.09, 255
2458.71, 255
2476.43, 255
2493.42, 255
2510.77, 255
2527.75, 255
2545.48, 255
2562.46, 255
2580.18, 255
2596.80, 255
2614.52, 255
2631.51, 255
2649.23, 255
2665.85, 255
2683.57, 255
2701.29, 255
2718.28, 255
2736.00, 255
2752.62, 255
2770.34, 255
2787.32, 255
2805.05, 255
2821.66, 255
2839.38, 255
2856.37, 255
2874.09, 255
2890.71, 255
2908.43, 255
2925.42, 255
2943.14, 255
2959.75, 255
2977.48, 255
2995.20, 255
3012.18, 255
3029.91, 255
3046.89, 255
3064.25, 255
3081.23, 255
3098.95, 255
3115.57, 255
3133.66, 255
3150.28, 255
3168.00, 255
3184.98, 255
3202.71, 255
3219.32, 255
