0,-3900,-31
10,-3900,-31
20,-4200,-31
30,-3900,-31
40,-3900,-31
50,-3900,-31
60,-3900,-31
70,-3900,-31
80,-3600,-31
90,-4200,-31
100,-4200,-31
110,-3900,-31
120,-3900,-31
130,-3900,-31
140,-3900,-31
150,-3900,-31
160,-3900,-31
170,-3900,-31
180,-3900,-31
190,-3600,-31
200,-3600,-31
210,-3900,-31
220,-4200,-31
230,-3600,-31
240,-3900,-31
250,-3900,-31
260,-3900,-31
270,-3900,-31
280,-3900,-31
290,-3900,-31
300,-3900,-31
310,-3600,-31
320,-3900,-31
330,-4200,-31
340,-3600,-31
350,-3600,-31
360,-3600,-31
370,-3900,-31
380,-3900,-31
390,-3900,-31
400,-3900,-31
410,-3900,-31
420,-3900,-31
430,-3600,-31
440,-3900,-31
450,-3900,-31
460,-3900,-31
470,-3600,-31
480,-3900,-31
490,-3900,-31
500,-3600,-31
510,-3600,-31
520,-3900,-31
530,-3900,-31
540,-3900,-31
550,-3600,-31
560,-3900,-31
570,-3900,-31
580,-3600,-31
590,-3600,-31
600,-4200,-31
610,-3900,-31
620,-3600,-31
630,-3600,-31
640,-3900,-31
650,-3900,-31
660,-3600,-31
670,-3600,-31
680,-3900,-31
690,-4200,-31
700,-3600,-31
710,-3600,-31
720,-4200,-31
730,-3900,-31
740,-3900,-31
750,-3900,-31
760,-4200,-31
770,-3900,-31
780,-3900,-31
790,-3900,-31
800,-4200,-31
810,-3900,-31
820,-3600,-31
830,-4200,-31
840,-3900,-31
850,-3600,-31
860,-3600,-31
870,-3900,-31
880,-3900,-31
890,-3900,-31
900,-3600,-31
910,-3900,-31
920,-4200,-31
930,-3900,-31
940,-3900,-31
950,-3900,-31
960,-3900,-31
970,-3600,-31
980,-3600,-31
990,-3900,-31
1000,-3900,-31
1010,-3600,-31
1020,-3600,-31
1030,-3900,-31
1040,-4200,-31
1050,-3600,-31
1060,-3900,-31
1070,-3900,-31
1080,-4200,-31
1090,-3900,-31
1100,-3900,-31
1110,-3900,-31
1120,-4200,-31
1130,-3900,-31
1140,-3900,-31
1150,-4200,-31
1160,-3900,-31
1170,-3900,-31
1180,-3900,65
1190,-3900,65
1200,-3600,65
1210,-3000,65
1220,-2400,65
1230,-1500,65
1240,-300,65
1250,600,65
1260,2100,65
1270,2700,65
1280,3900,65
1290,4500,65
1300,5400,65
1310,5700,65
1320,6300,65
1330,6600,65
1340,6600,65
1350,6900,65
1360,7500,65
1370,7200,65
1380,7500,65
1390,7800,65
1400,7500,65
1410,7800,65
1420,7500,65
1430,8100,65
1440,7800,65
1450,8100,65
1460,7800,65
1470,8100,65
1480,8100,65
1490,8100,65
1500,8100,65
1510,8100,65
1520,8400,65
1530,7800,65
1540,8400,65
1550,8100,65
1560,8100,65
1570,8100,65
1580,8100,65
1590,8400,65
1600,7800,65
1610,8400,65
1620,8100,65
1630,7800,65
1640,8400,65
1650,7800,65
1660,8400,65
1670,8100,65
1680,8100,65
1690,8400,65
1700,7800,65
1710,8400,65
1720,7800,65
1730,8400,65
1740,8100,65
1750,8100,65
1760,8400,65
1770,8100,65
1780,8400,65
1790,8400,65
1800,8100,65
1810,8400,65
1820,7800,65
1830,8400,65
1840,8100,65
1850,8400,65
1860,8100,65
1870,7800,65
1880,8400,65
1890,8100,65
1900,8100,65
1910,8400,65
1920,8100,65
1930,8700,65
1940,7800,65
1950,8400,65
1960,8100,65
1970,8100,65
1980,8400,65
1990,8100,65
2000,8400,65
2010,8400,65
2020,8100,65
2030,8400,65
2040,7800,65
2050,8400,65
2060,8100,65
2070,8100,65
2080,8400,65
2090,8100,65
2100,8700,65
2110,8100,65
2120,8400,65
2130,8400,65
2140,8100,65
2150,8400,65
2160,8100,65
2170,8400,65
2180,8100,65
2190,8100,65
2200,8400,65
2210,8100,65
2220,8700,65
2230,8100,65
2240,8400,65
2250,8400,65
2260,8100,65
2270,8400,65
2280,8100,65
2290,8100,65
2300,8700,65
2310,8100,65
2320,8400,65
2330,8100,65
2340,8700,65
2350,8700,65
2360,8400,65
2370,8700,65
2380,8100,65
2390,8700,65
2400,8400,65
2410,8400,65
2420,8700,65
2430,8100,65
2440,8400,65
2450,8400,65
2460,8400,65
2470,8700,65
2480,8100,65
2490,8700,65
2500,8100,65
2510,8400,65
2520,8400,65
2530,8400,65
2540,8700,65
2550,8100,65
2560,8400,65
2570,8400,65
2580,8100,65
2590,8700,65
2600,8100,65
2610,8400,65
2620,8400,65
2630,8100,65
2640,8700,65
2650,8100,65
2660,8400,65
2670,8400,65
2680,8100,65
2690,8700,65
2700,8100,65
2710,8400,65
2720,8100,65
2730,8100,65
2740,8400,65
2750,7800,65
2760,8400,65
2770,8100,65
2780,8100,65
2790,8400,65
2800,7800,65
2810,8400,65
2820,8100,65
2830,8400,65
2840,8400,65
2850,8100,65
2860,8400,65
2870,7800,65
2880,8100,65
2890,8100,65
2900,8100,65
2910,8400,65
2920,8100,65
2930,8400,65
2940,7800,65
2950,8100,65
2960,8100,65
2970,7800,65
2980,8400,65
2990,8100,65
3000,8100,65
3010,8400,65
3020,7800,65
3030,8100,65
3040,8100,65
3050,8400,65
3060,8400,65
3070,8100,65
3080,8400,65
3090,8100,65
3100,8100,65
3110,8100,65
3120,7800,65
3130,8400,65
3140,8100,65
3150,8400,65
3160,8100,65
3170,8100,65
3180,8400,25
3190,7800,25
3200,8100,25
3210,7200,25
3220,7200,25
3230,6600,25
3240,5700,25
3250,5100,25
3260,5100,25
3270,4800,25
3280,4800,25
3290,4500,25
3300,4200,25
3310,4500,25
3320,4200,25
3330,3900,25
3340,3900,25
3350,3900,25
3360,3900,25
3370,3300,25
3380,3600,25
3390,3600,25
3400,3000,25
3410,3300,25
3420,3300,25
3430,3000,25
3440,3600,25
3450,3000,25
3460,3300,25
3470,3300,25
3480,3000,25
3490,3300,25
3500,3000,25
3510,3300,25
3520,3300,25
3530,3000,25
3540,3300,25
3550,3000,25
3560,3300,25
